id,question,candidate_k,baseline_hit@1,baseline_hit@3,baseline_hit@5,baseline_mrr,candidate_hit,reranked_hit@1,reranked_hit@3,reranked_hit@5,reranked_mrr,vector_rank,reranked_rank,movement,winner_original_rank,winner_movement,baseline_vector_seconds,vector_seconds,rerank_seconds,total_seconds,pairs,pairs_per_second,top_rerank_score
q003,How does Kubernetes select a node for a Pod?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.012452300055883825,0.012766300002112985,0.2819708999013528,0.2947371999034658,17,60.28990936989395,0.9993372559547424
q003,How does Kubernetes select a node for a Pod?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.012452300055883825,0.013902200036682189,0.26292719994671643,0.2768293999833986,17,64.6566806456127,0.9993372559547424
q004,What is Kafka primarily used for?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.0121329000685364,0.010360099957324564,0.07478440005797893,0.08514450001530349,5,66.85886356143253,0.9980459213256836
q004,What is Kafka primarily used for?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.0121329000685364,0.014205500017851591,0.1453594999620691,0.15956499997992069,10,68.79495322018482,0.9980459213256836
q004,What is Kafka primarily used for?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.0121329000685364,0.01075220003258437,0.2549358999822289,0.26568810001481324,17,66.68342905485277,0.9980459213256836
q004,What is Kafka primarily used for?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.0121329000685364,0.010177399963140488,0.27427689998876303,0.2844542999519035,17,61.9811584595585,0.9980459213256836
q007,What durability and latency trade-off does synchronous PostgreSQL replication make?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.015308200032450259,0.01666380011010915,0.085524000111036,0.10218780022114515,5,58.463121387078345,0.9352173805236816
q007,What durability and latency trade-off does synchronous PostgreSQL replication make?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.015308200032450259,0.01454619993455708,0.17154230002779514,0.18608849996235222,10,58.29465967507543,0.9352174997329712
q007,What durability and latency trade-off does synchronous PostgreSQL replication make?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.015308200032450259,0.013208899996243417,0.27459709998220205,0.28780599997844547,17,61.908883965278044,0.9352174997329712
q007,What durability and latency trade-off does synchronous PostgreSQL replication make?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.015308200032450259,0.015153600019402802,0.2883325000293553,0.3034861000487581,17,58.95970797003189,0.9352174997329712
q008,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014134200057014823,0.014160799910314381,0.08601190010085702,0.1001727000111714,5,58.13149103946118,0.9992800354957581
q008,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014134200057014823,0.014180200058035553,0.15434839995577931,0.16852860001381487,10,64.78849150924138,0.9992800354957581
q008,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014134200057014823,0.013583200052380562,0.2772267999825999,0.2908100000349805,17,61.32163268871192,0.9992800354957581
q008,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014134200057014823,0.014043600065633655,0.2810204999987036,0.29506410006433725,17,60.493807391554796,0.9992800354957581
q009,How does logical replication differ from physical streaming replication?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.01373289991170168,0.013457100023515522,0.08443679998163134,0.09789390000514686,5,59.21588692474983,0.9864311814308167
q009,How does logical replication differ from physical streaming replication?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.01373289991170168,0.016403499990701675,0.15115719998721033,0.167560699977912,10,66.15629292449263,0.9864311814308167
q009,How does logical replication differ from physical streaming replication?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.01373289991170168,0.015572799951769412,0.2674038000404835,0.2829765999922529,17,63.5742648287956,0.9864311814308167
q009,How does logical replication differ from physical streaming replication?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.01373289991170168,0.01343219995032996,0.3106794999912381,0.3241116999415681,17,54.718769666101046,0.9864311814308167
q010,How do PostgreSQL snapshots determine which row versions a transaction can see?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.013883500010706484,0.011719200061634183,0.08344989991746843,0.09516909997910261,5,59.91618929375562,0.9994149208068848
q010,How do PostgreSQL snapshots determine which row versions a transaction can see?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.013883500010706484,0.016119399922899902,0.18243549996986985,0.19855489989276975,10,54.813893138405355,0.9994149208068848
q010,How do PostgreSQL snapshots determine which row versions a transaction can see?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.013883500010706484,0.015572600066661835,0.28408299991860986,0.2996555999852717,17,59.84166600912593,0.9994149208068848
q010,How do PostgreSQL snapshots determine which row versions a transaction can see?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.013883500010706484,0.017104400089010596,0.29705740010831505,0.31416180019732565,17,57.22799699250497,0.9994149208068848
q011,Why can PostgreSQL readers and writers usually proceed without blocking each other?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014846900012344122,0.013232799945399165,0.07922549999784678,0.09245829994324595,5,63.110993305638864,0.9839547872543335
q011,Why can PostgreSQL readers and writers usually proceed without blocking each other?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014846900012344122,0.01360989990644157,0.14116310002282262,0.1547729999292642,10,70.84004246423636,0.9839547872543335
q011,Why can PostgreSQL readers and writers usually proceed without blocking each other?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014846900012344122,0.016133999917656183,0.2984420000575483,0.31457599997520447,17,56.96249186348405,0.9839547872543335
q011,Why can PostgreSQL readers and writers usually proceed without blocking each other?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014846900012344122,0.012966400012373924,0.2711189999245107,0.28408539993688464,17,62.7030934930175,0.9839547872543335
q012,Why are VACUUM and autovacuum important for obsolete row versions?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014660999993793666,0.013902500038966537,0.077847900101915,0.09175040014088154,5,64.22780824472109,0.9990203380584717
q012,Why are VACUUM and autovacuum important for obsolete row versions?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014660999993793666,0.013794700033031404,0.15430229995399714,0.16809699998702854,10,64.80784799047939,0.9990203380584717
q012,Why are VACUUM and autovacuum important for obsolete row versions?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014660999993793666,0.012906900024972856,0.2904187999665737,0.30332569999154657,17,58.53615537959886,0.9990203380584717
q012,Why are VACUUM and autovacuum important for obsolete row versions?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014660999993793666,0.013151700026355684,0.2629171999869868,0.2760689000133425,17,64.65913983885962,0.9990203380584717
q013,What is the difference between Kubernetes resource requests and limits during scheduling?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014206700026988983,0.013416299945674837,0.07648809999227524,0.08990439993795007,5,65.36964574234378,0.8656402230262756
q013,What is the difference between Kubernetes resource requests and limits during scheduling?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014206700026988983,0.014853000058792531,0.15492599993012846,0.169778999988921,10,64.54694502220411,0.8656402230262756
q013,What is the difference between Kubernetes resource requests and limits during scheduling?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014206700026988983,0.012293100007809699,0.29621810000389814,0.30851120001170784,17,57.39014597614489,0.8656402230262756
q013,What is the difference between Kubernetes resource requests and limits during scheduling?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014206700026988983,0.016838100040331483,0.306999999913387,0.3238380999537185,17,55.37459284949889,0.8656402230262756
q014,"How do taints, tolerations, and node affinity affect Pod placement?",5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.01679130003321916,0.012505399994552135,0.08894309995230287,0.10144849994685501,5,56.21571547069225,0.9997004270553589
q014,"How do taints, tolerations, and node affinity affect Pod placement?",10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.01679130003321916,0.01182620006147772,0.16055919998325408,0.1723854000447318,10,62.282323286631815,0.9997004270553589
q014,"How do taints, tolerations, and node affinity affect Pod placement?",20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.01679130003321916,0.015075700008310378,0.278946700040251,0.2940224000485614,17,60.943542252146955,0.9997004270553589
q014,"How do taints, tolerations, and node affinity affect Pod placement?",40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.01679130003321916,0.01524539990350604,0.2957509000552818,0.31099629995878786,17,57.4808056267026,0.9997004270553589
q015,What happens after the Kubernetes scheduler binds a Pod to a node?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014595899963751435,0.014163800049573183,0.08744929998647422,0.1016131000360474,5,57.175986551903215,0.9991037249565125
q015,What happens after the Kubernetes scheduler binds a Pod to a node?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014595899963751435,0.013166100019589067,0.15598000003956258,0.16914610005915165,10,64.11078341751258,0.9991037249565125
q015,What happens after the Kubernetes scheduler binds a Pod to a node?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014595899963751435,0.014007500023581088,0.2771704999031499,0.291177999926731,17,61.33408860589497,0.9991037249565125
q015,What happens after the Kubernetes scheduler binds a Pod to a node?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014595899963751435,0.015025999979116023,0.29330410005059093,0.30833010002970695,17,57.96032171752026,0.9991037249565125
q016,How do Kafka partitions provide ordering and parallelism?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.013236899976618588,0.013011000002734363,0.08703779999632388,0.10004879999905825,5,57.44630494120002,0.9950868487358093
q016,How do Kafka partitions provide ordering and parallelism?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.013236899976618588,0.014970600022934377,0.15228179993573576,0.16725239995867014,10,65.667729198237,0.9950868487358093
q016,How do Kafka partitions provide ordering and parallelism?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.013236899976618588,0.01497620006557554,0.2595140999183059,0.2744902999838814,17,65.50703798117921,0.9950868487358093
q016,How do Kafka partitions provide ordering and parallelism?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.013236899976618588,0.014509000000543892,0.26569609995931387,0.28020509995985776,17,63.9828736763664,0.9950868487358093
q017,How do Kafka consumer groups divide partition work?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.011031100060790777,0.014480800018645823,0.08292870002333075,0.09740950004197657,5,60.29275749641951,0.9993884563446045
q017,How do Kafka consumer groups divide partition work?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.011031100060790777,0.01443990005645901,0.14794910000637174,0.16238900006283075,10,67.5908133241049,0.9993884563446045
q017,How do Kafka consumer groups divide partition work?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.011031100060790777,0.013445899938233197,0.27409089996945113,0.2875367999076843,17,62.023219311165526,0.9993884563446045
q017,How do Kafka consumer groups divide partition work?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.011031100060790777,0.013319900026544929,0.25971789995674044,0.27303779998328537,17,65.45563475921983,0.9993884563446045
q018,How does Kafka retain and replay events?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014889199985191226,0.013922899961471558,0.0774474999634549,0.09137039992492646,5,64.55986316355397,0.9995504021644592
q018,How does Kafka retain and replay events?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014889199985191226,0.013582899933680892,0.16467359999660403,0.17825649993028492,10,60.72618804839528,0.9995504021644592
q018,How does Kafka retain and replay events?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014889199985191226,0.013463700073771179,0.26950119994580746,0.28296490001957864,17,63.0794965047222,0.9995504021644592
q018,How does Kafka retain and replay events?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014889199985191226,0.010753900045529008,0.2732927000615746,0.2840466001071036,17,62.20436914769327,0.9995504021644592
