id,source,chunk_index,relevant_source,vector_rank,rerank_rank,rerank_score
q003,kubernetes-scheduling.md,0,1,1,1,0.9993372559547424
q003,kubernetes-scheduling.md,3,1,3,2,0.9917594790458679
q003,kubernetes-scheduling.md,2,1,2,3,0.85550856590271
q003,kubernetes-scheduling.md,1,1,4,4,0.001212672214023769
q003,kafka-overview.md,1,0,5,5,1.6747084373491816e-05
q003,kafka-overview.md,0,0,6,6,1.3562025742430706e-05
q003,kafka-overview.md,2,0,8,7,1.3014659998589195e-05
q003,postgres-replication.md,3,0,10,8,1.259527743968647e-05
q003,kafka-overview.md,3,0,7,9,1.2482479178288486e-05
q003,postgres-replication.md,4,0,9,10,1.1955664376728237e-05
q003,postgres-mvcc.md,1,0,17,11,1.1431618077040184e-05
q003,postgres-mvcc.md,0,0,15,12,1.13225132736261e-05
q003,postgres-mvcc.md,2,0,14,13,1.129985957959434e-05
q003,postgres-replication.md,1,0,11,14,1.120499746321002e-05
q003,postgres-replication.md,2,0,12,15,1.1141491086164024e-05
q003,postgres-replication.md,0,0,13,16,1.1017415090464056e-05
q003,postgres-mvcc.md,3,0,16,17,1.0641617336659692e-05
q004,kafka-overview.md,0,1,1,1,0.9980459213256836
q004,kafka-overview.md,1,1,2,2,0.8314801454544067
q004,kafka-overview.md,2,1,3,3,0.8183411359786987
q004,kafka-overview.md,3,1,4,4,0.70835280418396
q004,postgres-replication.md,3,0,11,5,2.8331822250038385e-05
q004,postgres-mvcc.md,1,0,16,6,2.4115739506669343e-05
q004,postgres-mvcc.md,2,0,5,7,2.3322982087847777e-05
q004,postgres-mvcc.md,0,0,15,8,2.1445561287691817e-05
q004,kubernetes-scheduling.md,0,0,9,9,1.7286431102547795e-05
q004,kubernetes-scheduling.md,2,0,6,10,1.5094056834641378e-05
q004,postgres-replication.md,0,0,8,11,1.493463605584111e-05
q004,postgres-replication.md,2,0,7,12,1.4650946468464099e-05
q004,kubernetes-scheduling.md,1,0,12,13,1.4581934010493569e-05
q004,postgres-replication.md,1,0,14,14,1.4541466953232884e-05
q004,kubernetes-scheduling.md,3,0,13,15,1.3205142749939114e-05
q004,postgres-mvcc.md,3,0,17,16,1.2070618140569422e-05
q004,postgres-replication.md,4,0,10,17,1.1923328202101402e-05
q007,postgres-replication.md,1,1,1,1,0.9352174997329712
q007,postgres-replication.md,2,1,6,2,0.35469698905944824
q007,postgres-replication.md,0,1,3,3,0.16792434453964233
q007,kafka-overview.md,3,0,10,4,0.021687710657715797
q007,postgres-mvcc.md,2,0,7,5,0.018807390704751015
q007,postgres-mvcc.md,0,0,11,6,0.015907391905784607
q007,postgres-replication.md,4,1,4,7,0.00708667142316699
q007,postgres-replication.md,3,1,2,8,0.006190918851643801
q007,postgres-mvcc.md,3,0,5,9,0.001961908768862486
q007,postgres-mvcc.md,1,0,8,10,0.0009713988984003663
q007,kafka-overview.md,2,0,9,11,5.065176446805708e-05
q007,kafka-overview.md,1,0,12,12,3.459919389570132e-05
q007,kubernetes-scheduling.md,3,0,17,13,1.159645489678951e-05
q007,kubernetes-scheduling.md,0,0,16,14,1.1522946806508116e-05
q007,kubernetes-scheduling.md,2,0,14,15,1.1371663276804611e-05
q007,kubernetes-scheduling.md,1,0,15,16,1.1094923138443846e-05
q007,kafka-overview.md,0,0,13,17,1.0745811778178904e-05
q008,postgres-replication.md,3,1,1,1,0.9992800354957581
q008,postgres-replication.md,0,1,3,2,0.5456273555755615
q008,postgres-mvcc.md,2,0,4,3,0.3717251420021057
q008,kafka-overview.md,3,0,8,4,0.15555095672607422
q008,postgres-replication.md,2,1,6,5,0.046209514141082764
q008,postgres-replication.md,4,1,5,6,0.030126020312309265
q008,postgres-replication.md,1,1,2,7,0.009120145812630653
q008,postgres-mvcc.md,0,0,12,8,0.0022532029543071985
q008,postgres-mvcc.md,1,0,9,9,0.0014164760941639543
q008,postgres-mvcc.md,3,0,11,10,0.0008259144378826022
q008,kubernetes-scheduling.md,2,0,13,11,7.438529428327456e-05
q008,kafka-overview.md,2,0,7,12,4.1999202949227765e-05
q008,kafka-overview.md,1,0,10,13,2.8921585908392444e-05
q008,kubernetes-scheduling.md,1,0,15,14,1.903247721202206e-05
q008,kubernetes-scheduling.md,0,0,14,15,1.184885604743613e-05
q008,kubernetes-scheduling.md,3,0,17,16,1.1528883078426588e-05
q008,kafka-overview.md,0,0,16,17,1.135342608904466e-05
q009,postgres-replication.md,3,1,2,1,0.9864311814308167
q009,postgres-replication.md,1,1,3,2,0.9520319700241089
q009,postgres-replication.md,4,1,1,3,0.9016412496566772
q009,postgres-replication.md,0,1,4,4,0.4119805097579956
q009,kafka-overview.md,3,0,7,5,0.17328935861587524
q009,postgres-mvcc.md,2,0,6,6,0.1684747189283371
q009,kafka-overview.md,1,0,8,7,0.00046679977094754577
q009,kafka-overview.md,2,0,5,8,0.00021296326303854585
q009,kafka-overview.md,0,0,9,9,2.5251099941669963e-05
q009,postgres-mvcc.md,1,0,10,10,1.4248128536564764e-05
q009,kubernetes-scheduling.md,0,0,16,11,1.2386499292915687e-05
q009,kubernetes-scheduling.md,2,0,14,12,1.2191932000860106e-05
q009,postgres-mvcc.md,0,0,12,13,1.2071286619175225e-05
q009,kubernetes-scheduling.md,1,0,15,14,1.2059365872119088e-05
q009,kubernetes-scheduling.md,3,0,17,15,1.196988068841165e-05
q009,postgres-mvcc.md,3,0,11,16,1.1605792678892612e-05
q009,postgres-replication.md,2,1,13,17,1.1275198630755767e-05
q010,postgres-mvcc.md,0,1,1,1,0.9994149208068848
q010,postgres-mvcc.md,1,1,2,2,0.9980321526527405
q010,postgres-mvcc.md,2,1,3,3,0.9914368987083435
q010,postgres-mvcc.md,3,1,5,4,0.9434797763824463
q010,postgres-replication.md,4,0,4,5,0.08193323761224747
q010,postgres-replication.md,2,0,8,6,0.023780006915330887
q010,postgres-replication.md,3,0,7,7,0.0062545109540224075
q010,postgres-replication.md,0,0,6,8,0.003973666112869978
q010,kafka-overview.md,3,0,9,9,0.0008893644553609192
q010,postgres-replication.md,1,0,10,10,2.7091538868262433e-05
q010,kafka-overview.md,1,0,12,11,1.402513498760527e-05
q010,kafka-overview.md,2,0,11,12,1.3675328773388173e-05
q010,kubernetes-scheduling.md,3,0,16,13,1.2724800399155356e-05
q010,kafka-overview.md,0,0,13,14,1.1663455552479718e-05
q010,kubernetes-scheduling.md,1,0,15,15,1.1424371223256458e-05
q010,kubernetes-scheduling.md,0,0,14,16,1.137270373874344e-05
q010,kubernetes-scheduling.md,2,0,17,17,1.1273554264334962e-05
q011,postgres-mvcc.md,1,1,1,1,0.9839547872543335
q011,postgres-mvcc.md,0,1,5,2,0.1800743192434311
q011,postgres-replication.md,2,0,4,3,0.07219842821359634
q011,postgres-replication.md,0,0,2,4,0.005223169922828674
q011,postgres-replication.md,3,0,3,5,0.0036039419937878847
q011,postgres-mvcc.md,2,1,11,6,0.0015558797167614102
q011,postgres-replication.md,4,0,10,7,0.000928902009036392
q011,kafka-overview.md,3,0,8,8,0.000874617719091475
q011,postgres-mvcc.md,3,1,6,9,0.0007502675289288163
q011,kafka-overview.md,1,0,12,10,1.4663819456472993e-05
q011,kafka-overview.md,2,0,9,11,1.4384904716280289e-05
q011,kubernetes-scheduling.md,2,0,16,12,1.3299627426022198e-05
q011,postgres-replication.md,1,0,7,13,1.2404775588947814e-05
q011,kafka-overview.md,0,0,14,14,1.2348898053460289e-05
q011,kubernetes-scheduling.md,0,0,15,15,1.1530367373779882e-05
q011,kubernetes-scheduling.md,1,0,13,16,1.1417846508265939e-05
q011,kubernetes-scheduling.md,3,0,17,17,1.0640500477165915e-05
q012,postgres-mvcc.md,2,1,1,1,0.9990203380584717
q012,postgres-mvcc.md,1,1,2,2,0.2729967534542084
q012,postgres-mvcc.md,0,1,3,3,0.0005916806985624135
q012,postgres-mvcc.md,3,1,8,4,7.089219434419647e-05
q012,postgres-replication.md,3,0,5,5,3.810819544014521e-05
q012,postgres-replication.md,4,0,4,6,2.5918150640791282e-05
q012,kubernetes-scheduling.md,2,0,16,7,1.8788461602525786e-05
q012,kubernetes-scheduling.md,1,0,13,8,1.3287164620123804e-05
q012,kafka-overview.md,2,0,7,9,1.1448900295363273e-05
q012,kafka-overview.md,1,0,12,10,1.1355527021805756e-05
q012,kafka-overview.md,0,0,11,11,1.1182058187841903e-05
q012,kubernetes-scheduling.md,0,0,15,12,1.0993150681315456e-05
q012,postgres-replication.md,1,0,9,13,1.0833850865310524e-05
q012,postgres-replication.md,2,0,6,14,1.0802395081555005e-05
q012,postgres-replication.md,0,0,14,15,1.0628979907778557e-05
q012,kafka-overview.md,3,0,10,16,1.0583796210994478e-05
q012,kubernetes-scheduling.md,3,0,17,17,1.0404131899122149e-05
q013,kubernetes-scheduling.md,0,1,1,1,0.8656402230262756
q013,kubernetes-scheduling.md,1,1,3,2,0.8548635244369507
q013,kubernetes-scheduling.md,2,1,2,3,0.5258831977844238
q013,kubernetes-scheduling.md,3,1,4,4,0.018731962889432907
q013,kafka-overview.md,2,0,5,5,7.784823537804186e-05
q013,kafka-overview.md,3,0,7,6,4.035061283502728e-05
q013,postgres-mvcc.md,3,0,15,7,2.067101377178915e-05
q013,postgres-replication.md,1,0,9,8,1.8068993085762486e-05
q013,kafka-overview.md,0,0,8,9,1.7490512618678622e-05
q013,postgres-mvcc.md,1,0,16,10,1.7394599126419052e-05
q013,postgres-replication.md,2,0,11,11,1.541152596473694e-05
q013,kafka-overview.md,1,0,6,12,1.5211539903248195e-05
q013,postgres-mvcc.md,2,0,14,13,1.4702172848046757e-05
q013,postgres-mvcc.md,0,0,17,14,1.3179389497963712e-05
q013,postgres-replication.md,0,0,12,15,1.2421193787304219e-05
q013,postgres-replication.md,3,0,10,16,1.2286252967896871e-05
q013,postgres-replication.md,4,0,13,17,1.1306296073598787e-05
q014,kubernetes-scheduling.md,2,1,1,1,0.9997004270553589
q014,kubernetes-scheduling.md,0,1,2,2,0.3256063461303711
q014,kubernetes-scheduling.md,1,1,4,3,0.18513797223567963
q014,kubernetes-scheduling.md,3,1,3,4,0.0005216355784796178
q014,postgres-mvcc.md,1,0,14,5,1.1450374586274847e-05
q014,postgres-replication.md,3,0,7,6,1.1394677130738273e-05
q014,kafka-overview.md,0,0,9,7,1.1312605238344986e-05
q014,kafka-overview.md,1,0,8,8,1.1264515705988742e-05
q014,kafka-overview.md,2,0,5,9,1.123138008551905e-05
q014,postgres-replication.md,2,0,12,10,1.1061074474127963e-05
q014,postgres-mvcc.md,0,0,16,11,1.1033524060621858e-05
q014,postgres-replication.md,1,0,11,12,1.0993171599693596e-05
q014,postgres-mvcc.md,2,0,13,13,1.0963343811454251e-05
q014,postgres-replication.md,0,0,15,14,1.0795680282171816e-05
q014,kafka-overview.md,3,0,6,15,1.070373400580138e-05
q014,postgres-replication.md,4,0,10,16,1.0488892257853877e-05
q014,postgres-mvcc.md,3,0,17,17,1.0440699043101631e-05
q015,kubernetes-scheduling.md,0,1,1,1,0.9991037249565125
q015,kubernetes-scheduling.md,3,1,2,2,0.9985913634300232
q015,kubernetes-scheduling.md,2,1,3,3,0.9914847016334534
q015,kubernetes-scheduling.md,1,1,4,4,0.0033833009656518698
q015,kafka-overview.md,3,0,7,5,1.3653423593495972e-05
q015,kafka-overview.md,1,0,8,6,1.2637400686799083e-05
q015,kafka-overview.md,2,0,6,7,1.2626233910850715e-05
q015,postgres-replication.md,1,0,10,8,1.222131322720088e-05
q015,kafka-overview.md,0,0,11,9,1.2197839168948121e-05
q015,postgres-mvcc.md,1,0,17,10,1.2014161256956868e-05
q015,postgres-mvcc.md,0,0,16,11,1.1773320693464484e-05
q015,postgres-replication.md,3,0,5,12,1.1765980161726475e-05
q015,postgres-mvcc.md,2,0,14,13,1.1657783943519462e-05
q015,postgres-replication.md,0,0,12,14,1.1551124771358445e-05
q015,postgres-replication.md,2,0,9,15,1.1514862308104057e-05
q015,postgres-mvcc.md,3,0,15,16,1.1187167729076464e-05
q015,postgres-replication.md,4,0,13,17,1.103625982068479e-05
q016,kafka-overview.md,0,1,2,1,0.9950868487358093
q016,kafka-overview.md,1,1,1,2,0.9901367425918579
q016,kafka-overview.md,2,1,3,3,0.740181028842926
q016,kafka-overview.md,3,1,4,4,0.23940302431583405
q016,kubernetes-scheduling.md,0,0,8,5,1.421973229298601e-05
q016,kubernetes-scheduling.md,3,0,15,6,1.3861515071766917e-05
q016,postgres-mvcc.md,0,0,16,7,1.3421165022009518e-05
q016,postgres-mvcc.md,2,0,13,8,1.2853852240368724e-05
q016,postgres-mvcc.md,1,0,14,9,1.2551906365843024e-05
q016,kubernetes-scheduling.md,2,0,12,10,1.2290681297599804e-05
q016,postgres-replication.md,3,0,11,11,1.2137280464230571e-05
q016,kubernetes-scheduling.md,1,0,10,12,1.2131528819736559e-05
q016,postgres-replication.md,1,0,9,13,1.1996758985333145e-05
q016,postgres-replication.md,4,0,5,14,1.1648905456240755e-05
q016,postgres-replication.md,0,0,6,15,1.1279510545136873e-05
q016,postgres-mvcc.md,3,0,17,16,1.12382804218214e-05
q016,postgres-replication.md,2,0,7,17,1.1106895726697985e-05
q017,kafka-overview.md,2,1,2,1,0.9993884563446045
q017,kafka-overview.md,1,1,1,2,0.999110996723175
q017,kafka-overview.md,0,1,3,3,0.9820621609687805
q017,kafka-overview.md,3,1,4,4,0.44526606798171997
q017,postgres-replication.md,3,0,5,5,2.000583481276408e-05
q017,kubernetes-scheduling.md,3,0,14,6,1.411367702530697e-05
q017,kubernetes-scheduling.md,0,0,8,7,1.2763021913997363e-05
q017,kubernetes-scheduling.md,2,0,10,8,1.1581093531276565e-05
q017,postgres-mvcc.md,1,0,15,9,1.1333963811921421e-05
q017,kubernetes-scheduling.md,1,0,7,10,1.1296217962808441e-05
q017,postgres-mvcc.md,0,0,16,11,1.1182164598722011e-05
q017,postgres-mvcc.md,2,0,9,12,1.1166627700731624e-05
q017,postgres-replication.md,4,0,6,13,1.0764407306851353e-05
q017,postgres-mvcc.md,3,0,17,14,1.0735967407526914e-05
q017,postgres-replication.md,1,0,12,15,1.0698743608372752e-05
q017,postgres-replication.md,2,0,11,16,1.0693836884456687e-05
q017,postgres-replication.md,0,0,13,17,1.0563155228737742e-05
q018,kafka-overview.md,2,1,1,1,0.9995504021644592
q018,kafka-overview.md,0,1,3,2,0.7383637428283691
q018,kafka-overview.md,3,1,2,3,0.5631566643714905
q018,kafka-overview.md,1,1,4,4,0.0951145738363266
q018,postgres-replication.md,0,0,5,5,4.6009216021047905e-05
q018,postgres-replication.md,3,0,8,6,2.6050125597976148e-05
q018,postgres-replication.md,1,0,6,7,1.4892792023601942e-05
q018,postgres-mvcc.md,1,0,11,8,1.404576232744148e-05
q018,kubernetes-scheduling.md,0,0,15,9,1.2606177733687218e-05
q018,postgres-mvcc.md,2,0,7,10,1.222588343807729e-05
q018,postgres-replication.md,2,0,9,11,1.1797236766142305e-05
q018,postgres-mvcc.md,0,0,10,12,1.1562597137526609e-05
q018,kubernetes-scheduling.md,1,0,17,13,1.1425231605244335e-05
q018,kubernetes-scheduling.md,3,0,16,14,1.138110201281961e-05
q018,kubernetes-scheduling.md,2,0,14,15,1.1350492059136741e-05
q018,postgres-replication.md,4,0,12,16,1.0891271813306957e-05
q018,postgres-mvcc.md,3,0,13,17,1.0825971003214363e-05
