id,question,answerability,trap_type,prompt_mode,generated_answer,evidence_status,observed_status,retrieved_sources,source_count,citation_count,invalid_citation_count,prompt_tokens,retrieval_seconds,vector_seconds,lexical_seconds,fusion_seconds,generation_seconds,total_claims,supported_claims,partially_supported_claims,unsupported_claims,claims_with_citations,citations_that_support_claim,manual_correctness,manual_groundedness,manual_partial_handling,notes
g011,What is the difference between Kubernetes resource requests and limits during scheduling?,full,none,strict,The difference between Kubernetes resource requests and limits during scheduling lies in how they influence the decision-making process of the Kubernetes Scheduler. Requests represent the minimum amount of CPU and,,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,2,0.15924239996820688,0.09361880016513169,0.06553439982235432,8.919998072087765e-05,121.96097300003748,,,,,,,,,,
g012,"How do taints, tolerations, and node affinity affect Pod placement?",full,none,strict,"Taints, tolerations, and node affinity all play crucial roles in Pod placement within Kubernetes clusters. Taints allow nodes to reject certain types of Pods",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,2,0.1828155000694096,0.1085371000226587,0.07419160008430481,8.679996244609356e-05,121.96097300003748,,,,,,,,,,
g013,What happens after the Kubernetes scheduler binds a Pod to a node?,full,none,strict,"After the Kubernetes scheduler binds a Pod to a node, the kubelet on that node works with the container runtime to obtain images and start the containers.",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|postgres-replication.md,5,0,0,2,0.17326249997131526,0.1007833001203835,0.07237199996598065,0.00010719988495111465,117.89386492496124,,,,,,,,,,
g014,How do Kafka partitions provide ordering and parallelism?,full,none,strict,"Kafka partitions provide both ordering and parallelism through several mechanisms:

- Each partition is replicated across brokers according to its replication factor.
- One replica acts as the",,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,2,0.17175849992781878,0.09712849999777973,0.07452909997664392,0.00010089995339512825,117.89386492496124,,,,,,,,,,
g015,How do Kafka consumer groups divide partition work?,full,none,strict,Kafka consumer groups divide partition work by assigning each partition to at most one consumer within the group. This allows the group to independently read the same events for separate,,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,2,0.17177350004203618,0.101725900080055,0.0699583999812603,8.919998072087765e-05,117.89386492496124,,,,,,,,,,
g016,"How does PostgreSQL streaming replication work, and which exact PostgreSQL version introduced it?",partial,missing_version,strict,PostgreSQL streaming replication works by keeping one or more standby servers synchronized with a primary database server. The primary records every database change in the write-ahead log (common,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.1799098001793027,0.11211430002003908,0.06770320003852248,9.230012074112892e-05,117.89386492496124,,,,,,,,,,
g017,"What trade-off does synchronous replication make, and what is its exact default acknowledgement timeout?",partial,missing_number,strict,The trade-off of synchronous replication is that it requires one or more standby servers to acknowledge a transaction before the primary reports that transaction as committed. This improves durability but,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md|postgres-replication.md,5,0,0,2,0.18627050006762147,0.1190051999874413,0.06717290007509291,9.240000508725643e-05,121.4091104749823,,,,,,,,,,
g018,"Why are replication slots useful, and what exact maximum amount of WAL may a slot retain by default?",partial,missing_number,strict,"Replication slots are useful in preventing the primary from deleting WAL segments that a standby or logical replication consumer still needs. By default, a replication slot retains up to",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,5,0,0,2,0.18341119983233511,0.10898899985477328,0.07433299999684095,8.919998072087765e-05,121.4091104749823,,,,,,,,,,
g019,"How does logical replication differ from physical replication, and what minimum version supports each?",partial,missing_version,strict,Logical replication differs from physical replication in that logical replication publishes row-level changes for selected tables and can replicate between databases with different physical layouts or major PostgreSQL versions. Physical,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md|kafka-overview.md,5,0,0,2,0.15848689968697727,0.09741509985178709,0.06096919998526573,0.00010259984992444515,121.4091104749823,,,,,,,,,,
g020,"How do MVCC snapshots determine visibility, and how many bytes of memory does each snapshot consume?",partial,missing_number,strict,"MVCC snapshots determine visibility through the following mechanisms:

- Under the Read Committed isolation level, each SQL statement receives a new snapshot.
- Under Repeatable Read",,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md,4,0,0,2,0.1524133998900652,0.09145740000531077,0.06088029989041388,7.569999434053898e-05,121.4091104749823,,,,,,,,,,
g021,"What does VACUUM do, and what is the exact default interval at which autovacuum runs?",partial,missing_number,strict,VACUUM performs an operation to reclaim unused space occupied by deleted or obsolete row versions in PostgreSQL databases. It marks these spaces as reusable so they can be,,UNDECLARED,postgres-mvcc.md,1,0,0,2,0.14013529988005757,0.0831855998840183,0.0568830999545753,6.660004146397114e-05,117.22734435001621,,,,,,,,,,
g022,"How does the Kubernetes scheduler filter nodes, and what are the exact default weights for every scoring plugin?",partial,missing_number,strict,"The Kubernetes scheduler filters nodes based on several criteria including CPU and memory availability, node selectors, required node affinity rules, incompatible taints, and storage requirements.",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,2,0.13736700010485947,0.08639580011367798,0.05088620004244149,8.499994874000549e-05,117.22734435001621,,,,,,,,,,
g023,"How do resource requests affect scheduling, and what default CPU request is assigned when none is specified?",partial,missing_configuration,strict,"Resource requests play a crucial role in Kubernetes scheduling. When a new pod is created, the Kubernetes scheduler evaluates all available nodes to find the most suitable one. The",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,2,0.13542129984125495,0.07934149983339012,0.05601820000447333,6.160000339150429e-05,117.22734435001621,,,,,,,,,,
g024,"How do Kafka partitions enable parallelism, and what is the maximum supported partition count per broker?",partial,missing_number,strict,"Kafka partitions enable parallelism through their ability to distribute storage and processing across multiple brokers. Each partition is replicated across brokers according to its replication factor, with one",,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md|kubernetes-scheduling.md,5,0,0,2,0.15426940005272627,0.08617630018852651,0.06800400000065565,8.909986354410648e-05,117.22734435001621,,,,,,,,,,
g025,"How do Kafka consumer groups divide work, and what is the default rebalance timeout?",partial,missing_configuration,strict,Kafka consumer groups divide work by assigning each partition to at most one consumer within the group. The default rebalance timeout is not specified in the given sources.,,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md|kubernetes-scheduling.md,5,0,0,2,0.15564280026592314,0.09599060006439686,0.05956370010972023,8.850009180605412e-05,116.03930755000329,,,,,,,,,,
g026,"According to these documents, what is PostgreSQL's maximum database size?",none,missing_numeric_fact,strict,"EVIDENCE_STATUS: SUPPORTED

PostgreSQL's maximum database size is not specified in the given source excerpt. The excerpt discusses PostgreSQL's streaming replication feature but",SUPPORTED,SUPPORTED,postgres-replication.md,1,0,0,2,0.14661700022406876,0.08639720012433827,0.06012400006875396,9.580003097653389e-05,116.03930755000329,,,,,,,,,,
g027,Which PostgreSQL configuration parameter guarantees zero RPO across geographic regions?,none,false_guarantee,strict,"EVIDENCE_STATUS: SUPPORTED

The PostgreSQL configuration parameter that guarantees zero Recovery Point Objective (RPO) across geographic regions is **physical streaming replication**.",SUPPORTED,SUPPORTED,postgres-replication.md|postgres-mvcc.md,2,0,0,2,0.14537160005420446,0.08464849996380508,0.06063220021314919,9.089987725019455e-05,116.03930755000329,,,,,,,,,,
g028,What exact PostgreSQL version introduced streaming replication?,none,missing_version,strict,"The exact PostgreSQL version that introduced streaming replication is not specified in the given sources. The sources discuss various aspects related to replication mechanisms in PostgreSQL, including streaming replication,",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.13975550001487136,0.08517009997740388,0.05452620005235076,5.91999851167202e-05,116.03930755000329,,,,,,,,,,
g029,What does SQLSTATE 23505 mean?,none,missing_fact,strict,"EVIDENCE_STATUS: SUPPORTED

SQLSTATE 23505 typically indicates a violation of the FOREIGN KEY constraint in PostgreSQL. This error occurs when",SUPPORTED,SUPPORTED,postgres-mvcc.md,1,0,0,2,0.1417804998345673,0.08214139984920621,0.059522700030356646,0.00011639995500445366,116.85803852498066,,,,,,,,,,
g030,What is the default value of log_min_duration_statement?,none,missing_configuration,strict,"EVIDENCE_STATUS: INSUFFICIENT

I don't have enough information in the provided sources to answer that question.",INSUFFICIENT,INSUFFICIENT,,0,0,0,0,0.14512420003302395,0.08555529988370836,0.059487299993634224,8.160015568137169e-05,0.0,,,,,,,,,,
g031,How does YugabyteDB xCluster replication resolve write conflicts?,none,missing_fact,strict,YugabyteDB xCluster replication resolves write conflicts by utilizing replication slots. These slots ensure that the primary PostgreSQL instance does not delete WAL (Write-Ahead Log,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md|postgres-replication.md,5,0,0,2,0.13950450019910932,0.0853311000391841,0.05407910002395511,9.430013597011566e-05,116.85803852498066,,,,,,,,,,
g032,What is the capital of Japan?,none,out_of_domain,strict,"EVIDENCE_STATUS: INSUFFICIENT

I don't have enough information in the provided sources to answer that question.",INSUFFICIENT,INSUFFICIENT,,0,0,0,0,0.12251859973184764,0.07275569997727871,0.04969839984551072,6.449990905821323e-05,0.0,,,,,,,,,,
g033,Who won the 2022 FIFA World Cup?,none,out_of_domain,strict,"EVIDENCE_STATUS: INSUFFICIENT

I don't have enough information in the provided sources to answer that question.",INSUFFICIENT,INSUFFICIENT,,0,0,0,0,0.1302941998001188,0.07448569987900555,0.05573159991763532,7.690000347793102e-05,0.0,,,,,,,,,,
g034,Do obsolete PostgreSQL row versions prove that a long-running transaction caused yesterday's production CPU spike?,none,causal_inference,strict,"EVIDENCE_STATUS: SUPPORTED

The obsolete PostgreSQL row versions mentioned in the sources suggest that they may contribute to the observed production CPU spike due to their persistence",SUPPORTED,SUPPORTED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,5,0,0,2,0.14361790008842945,0.085062799975276,0.05846709990873933,8.800020441412926e-05,116.85803852498066,,,,,,,,,,
g035,Why does PostgreSQL require synchronous replication for MVCC?,none,false_premise,strict,"EVIDENCE_STATUS: SUPPORTED

PostgreSQL requires synchronous replication for MVCC (Multi-Version Concurrency Control) because synchronous replication ensures that all changes made on",SUPPORTED,SUPPORTED,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.15764899994246662,0.09993480006232858,0.05764149990864098,7.269997149705887e-05,116.85803852498066,,,,,,,,,,
